"ci_ciudad";"ci_descripcion";"ci_estado";"ci_provincia";"ci_cod_remesas";"ci_pais"
1606;"SANTO TOMAS";"V";16;0;1
1607;"VILLA SANDINO";"V";16;0;1
1608;"ACOYAPA";"V";16;0;1
1609;"SAN FRANCISCO DE CUAPA";"V";16;0;1
1610;"EL CORAL";"V";16;0;1
1701;"PAIWAS";"V";17;0;1
1702;"LA CRUZ DE RIO GRANDE";"V";17;0;1
1703;"EL RAMA";"V";17;0;1
1704;"KUKRA HILL";"V";17;0;1
1705;"LAGUNA DE PERLAS";"V";17;0;1
1706;"MUELLE DE LOS BUEYES";"V";17;0;1
1707;"NUEVA GUINEA";"V";17;0;1
1708;"BLUEFIELDS";"V";17;0;1
1709;"CORN ISLAND";"V";17;0;1
1710;"EL TORTUGUERO";"V";17;0;1
1711;"DESEMBOCADURA DEL RIO GRANDE";"V";17;0;1
1712;"EL AYOTE";"V";17;0;1
1800;"NO DEFINIDO";"E";20;0;3
1801;"HAMBURGO";"V";20;0;3
1802;"FRANKFURT";"V";20;0;3
1803;"MUNICH";"V";20;0;3
1804;"BREMEN";"V";20;0;3
1805;"BERLIN";"V";20;0;3
1806;"BONN";"V";20;0;3
1807;"DUSSELDORF";"V";20;0;3
1808;"STUTTGART";"V";20;0;3
1809;"BUENOS AIRES";"V";28;0;4
1810;"CANBERRA";"V";29;0;5
1811;"BRISBANE";"V";29;0;5
1812;"MELBOURNE";"V";29;0;5
1813;"PERTH";"V";29;0;5
1814;"SYDNEY";"V";29;0;5
1815;"VIENNA";"V";30;0;6
1816;"SAO PAULO";"V";23;0;10
1817;"BRASILIA";"V";23;0;10
1818;"CURITIBA";"V";23;0;10
1819;"RIO DE JANEIRO";"V";23;0;10
1820;"MONTREAL";"V";34;0;11
1821;"OTTAWA";"V";34;0;11
1822;"TORONTO";"V";34;0;11
1823;"VANCOUVER";"V";34;0;11
1824;"QUEBEC";"V";34;0;11
1825;"BOGOTA";"V";35;0;12
1826;"CARTAGENA";"V";35;0;12
1827;"SAN JOSE";"V";37;0;14
1828;"LA HABANA";"V";38;0;15
1829;"SANTIAGO";"V";39;0;16
1830;"VALPARAISO";"V";39;0;16
1831;"BEIJING";"V";40;0;17
1832;"SHANGHAI";"V";40;0;17
1833;"TIANJIN";"V";40;0;17
1834;"COPENHAGEN";"V";41;0;18
1835;"QUITO";"V";24;0;19
1836;"GUAYAQUIL";"V";24;0;19
1837;"CAIRO";"V";42;0;20
1838;"BARCELONA";"V";22;0;21
1839;"MADRID";"V";22;0;21
1840;"ALBACETE";"V";22;0;21
1841;"ALICANTE";"V";22;0;21
1842;"BILBAO";"V";22;0;21
1843;"CORDOVA";"V";22;0;21
1844;"GRANADA";"V";22;0;21
1845;"LA CORU?A";"V";22;0;21
1846;"MALAGA";"V";22;0;21
1847;"PALMA DE MALLORCA";"V";22;0;21
1848;"SANTANDER";"V";22;0;21
1849;"SEVILLA";"V";22;0;21
1850;"TOLEDO";"V";22;0;21
1851;"VALENCIA";"V";22;0;21
1852;"NEW YORK";"V";21;0;22
1853;"FLORIDA";"V";21;0;22
1854;"CALIFORNIA";"V";21;0;22
1855;"ALABAMA";"V";21;0;22
1856;"ALASKA";"V";21;0;22
1857;"ARIZONA";"V";21;0;22
1858;"ARKANSAS";"V";21;0;22
1859;"COLORADO";"V";21;0;22
1860;"CONNECTICUT";"V";21;0;22
1861;"DELAWARE";"V";21;0;22
1862;"DISTRICT OF COLUMBIA";"V";21;0;22
1863;"GEORGIA";"V";21;0;22
1864;"HAWAII";"V";21;0;22
1865;"IDAHO";"V";21;0;22
1866;"ILLINOIS";"V";21;0;22
1867;"INDIANA";"V";21;0;22
1868;"IOWA";"V";21;0;22
1869;"KANSAS";"V";21;0;22
1870;"KENTUCKY";"V";21;0;22
1871;"LOUISIANA";"V";21;0;22
1872;"MAINE";"V";21;0;22
1873;"MARYLAND";"V";21;0;22
1874;"MASSACHUSETTS";"V";21;0;22
1875;"MICHIGAN";"V";21;0;22
1876;"MINNESOTA";"V";21;0;22
1877;"MISSISSIPPI";"V";21;0;22
1878;"MISSOURI";"V";21;0;22
1879;"MONTANA";"V";21;0;22
1880;"NEBRASKA";"V";21;0;22
1881;"NEVADA";"V";21;0;22
1882;"NEW HAMPSHIRE";"V";21;0;22
1883;"NEW JERSEY";"V";21;0;22
1884;"NEW MEXICO";"V";21;0;22
1885;"NORTH CAROLINA";"V";21;0;22
1886;"NORTH DAKOTA";"V";21;0;22
1887;"OHIO";"V";21;0;22
1888;"OKLAHOMA";"V";21;0;22
1889;"OREGON";"V";21;0;22
1890;"PENNSYLVANIA";"V";21;0;22
1891;"PUERTO RICO";"V";21;0;22
1892;"RHODE ISLAND";"V";21;0;22
1893;"SOUTH DAKOTA";"V";21;0;22
1894;"TENNESSEE";"V";21;0;22
1895;"TEXAS";"V";21;0;22
1896;"UTAH";"V";21;0;22
1897;"VERMONT";"V";21;0;22
1898;"VIRGINIA";"V";21;0;22
1899;"WASHINGTON";"V";21;0;22
1900;"NO DEFINIDO";"V";21;0;22
1901;"WEST VIRGINIA";"V";21;0;22
1902;"WISCONSIN";"V";21;0;22
1903;"WYOMING";"V";21;0;22
1904;"MANILA";"V";43;0;23
1905;"HELSINKI";"V";44;0;24
1906;"PARIS";"V";45;0;25
1907;"LYON";"V";45;0;25
1908;"SAINT DENIS";"V";45;0;25
1909;"TOULOUSE";"V";45;0;25
1910;"ATENAS";"V";46;0;26
1911;"GUATEMALA";"V";47;0;27
1912;"PUERTO PRINCIPE";"V";48;0;28
1913;"AMSTERDAM";"V";49;0;29
1914;"ROTTERDAM";"V";49;0;29
1915;"TEGUCIGALPA";"V";25;0;30
1916;"SAN PEDRO SULA";"V";25;0;30
1917;"SAN PEDRO SULA";"V";25;0;30
1918;"BUDAPEST";"V";50;0;31
1919;"NEW DELHI";"V";51;0;32
1920;"CALCUTA";"V";51;0;32
1921;"MUMBAI";"V";51;0;32
1922;"LONDRES";"V";52;0;33
1923;"BIRMINGHAM";"V";52;0;33
1924;"BRISTOL";"V";52;0;33
1925;"CAMBRIDGE";"V";52;0;33
1926;"EDINBURGH";"V";52;0;33
1927;"LIVERPOOL";"V";52;0;33
1928;"MANCHESTER";"V";52;0;33
1929;"MANSFIELD";"V";52;0;33
1930;"NOTTINGHAM";"V";52;0;33
1931;"WINDSOR";"V";52;0;33
1932;"JERUSALEM";"V";53;0;34
1933;"TEL AVIV";"V";53;0;34
1934;"ROMA";"V";54;0;35
1935;"BOLOGNA";"V";54;0;35
1936;"FLORENCE";"V";54;0;35
1937;"GENOVA";"V";54;0;35
1938;"MILAN";"V";54;0;35
1939;"NAPOLI";"V";54;0;35
1940;"PALERMO";"V";54;0;35
1941;"TURIN";"V";54;0;35
1942;"KINGSTON";"V";55;0;36
1943;"TOKYO";"V";56;0;37
1944;"KOBE";"V";56;0;37
1945;"KYOTO";"V";56;0;37
1946;"NAGOYA";"V";56;0;37
1947;"NAGASAKI";"V";56;0;37
1948;"OSAKA";"V";56;0;37
1949;"YOKOHAMA";"V";56;0;37
1950;"MEXICO";"V";57;0;38
1951;"GUADALAJARA";"V";57;0;38
1952;"SAN SALVADOR";"V";58;0;39
1953;"OSLO";"V";59;0;40
1954;"PANAMA";"V";60;0;41
1955;"COLON";"V";60;0;41
1956;"ASUNCION";"V";61;0;42
1957;"LIMA";"V";62;0;43
1958;"WARSAW";"V";63;0;44
1959;"LISBOA";"V";64;0;45
1960;"OPORTO";"V";64;0;45
1961;"SANTO DOMINGO";"V";68;0;49
1962;"BUCHAREST";"V";69;0;50
1963;"STOCKHOLM";"V";71;0;52
1964;"ZURICH";"V";72;0;53
1965;"BERNE";"V";72;0;53
1966;"BASEL";"V";72;0;53
1967;"GENEVA";"V";72;0;53
1968;"LUCERNE";"V";72;0;53
1969;"ANKARA";"V";73;0;54
1970;"MONTEVIDEO";"V";74;0;55
1971;"CARACAS";"V";75;0;56
1972;"BELGRADO";"V";76;0;57
1973;"HONG KONG";"V";100;0;64
1974;"KOWLOON";"V";100;0;64
1975;"JAKARTA";"V";110;0;75
1976;"DUBLIN";"V";103;0;61
1977;"SEOUL";"E";103;0;61
1978;"TANGJIN";"V";36;0;13
1979;"KUALA LUMPUR";"V";107;0;70
1980;"WELLINGTON";"V";101;0;63
1981;"SINGAPORE";"V";96;0;68
1982;"PRETORIA";"V";113;0;72
1983;"CAPE TOWN";"V";113;0;72
1984;"DURBAN";"V";113;0;72
1985;"GABORONE";"V";97;0;67
1986;"BANGKOK";"V";112;0;77
1987;"HOUSTON";"V";21;0;22
1988;"LOS ANGELES";"V";21;0;22
1989;"MIAMI";"V";21;0;22
1990;"CHARLOTTE";"V";21;0;22
1991;"PHILADELPHIA";"V";21;0;22
1992;"HONG KONG";"E";100;0;64
1993;"NASSAU";"V";99;0;65
1994;"SEOUL";"V";36;0;13
1995;"TAIPEI";"V";104;0;60
1996;"DHAKA";"V";98;0;66
1997;"DALLAS";"V";21;0;22
1998;"BREST";"V";45;0;25
1999;"BRUSELAS";"V";32;0;8
2000;"SINGAPORE";"E";96;0;68
2001;"ARABIA";"V";106;0;69
2002;"KUALA LUMPUR";"V";107;0;70
2003;"MONTERREY";"V";57;0;38
2004;"ST.HELIER";"V";108;0;21
2005;"SHEFFIELD";"V";52;0;33
